# Time-averaged data for fix viscave
# TimeStep v_visc
6340000 24.3599
6350000 24.3541
6360000 24.3432
6370000 24.3336
6380000 24.3253
6390000 24.3272
6400000 24.3397
6410000 24.3396
6420000 24.3348
6430000 24.3414
6440000 24.3371
6450000 24.3336
6460000 24.3375
6470000 24.3415
6480000 24.3472
6490000 24.353
6500000 24.3549
6510000 24.3596
6520000 24.3612
6530000 24.3667
6540000 24.3674
6550000 24.3668
6560000 24.3689
6570000 24.3761
6580000 24.3805
6590000 24.4088
6600000 24.4075
6610000 24.4161
6620000 24.4269
6630000 24.433
6640000 24.4384
6650000 24.4447
6660000 24.4521
6670000 24.4524
6680000 24.4515
6690000 24.4537
6700000 24.4506
6710000 24.4506
6720000 24.4547
6730000 24.4513
6740000 24.4399
6750000 24.4362
6760000 24.4408
6770000 24.4447
6780000 24.4529
6790000 24.4596
6800000 24.467
6810000 24.4707
6820000 24.4799
6830000 24.4859
6840000 24.4884
6850000 24.4922
6860000 24.5004
6870000 24.4966
6880000 24.5
6890000 24.514
6900000 24.5153
6910000 24.5196
6920000 24.5208
6930000 24.5329
6940000 24.5416
6950000 24.5424
6960000 24.5448
6970000 24.555
6980000 24.5502
6990000 24.5445
7000000 24.5447
7010000 24.5419
7020000 24.5402
7030000 24.5271
7040000 24.5077
7050000 24.4956
7060000 24.4888
7070000 24.4878
7080000 24.4928
7090000 24.4913
7100000 24.4935
7110000 24.4831
7120000 24.4746
7130000 24.475
7140000 24.4688
7150000 24.4673
7160000 24.464
7170000 24.4641
7180000 24.4724
7190000 24.4798
7200000 24.4849
7210000 24.4763
7220000 24.4839
7230000 24.487
7240000 24.4805
7250000 24.4763
7260000 24.4715
7270000 24.4614
7280000 24.4497
7290000 24.4375
7300000 24.4357
7310000 24.4306
7320000 24.4258
7330000 24.4267
7340000 24.4222
7350000 24.4147
7360000 24.4148
7370000 24.4102
7380000 24.4101
7390000 24.4083
7400000 24.4063
7410000 24.4083
7420000 24.4083
7430000 24.4112
7440000 24.4231
7450000 24.4257
7460000 24.43
7470000 24.4425
7480000 24.4467
7490000 24.4548
7500000 24.461
7510000 24.4641
7520000 24.4638
7530000 24.4705
7540000 24.4735
7550000 24.484
7560000 24.477
7570000 24.4849
7580000 24.4862
7590000 24.4845
7600000 24.4896
7610000 24.5001
7620000 24.5106
7630000 24.5186
7640000 24.5171
7650000 24.5231
7660000 24.5217
7670000 24.5257
7680000 24.5333
7690000 24.5303
7700000 24.5314
7710000 24.5326
7720000 24.5381
7730000 24.5422
7740000 24.5458
7750000 24.5524
7760000 24.5576
7770000 24.5668
7780000 24.5721
7790000 24.5817
7800000 24.5868
7810000 24.5903
7820000 24.5924
7830000 24.6006
7840000 24.5998
7850000 24.5948
7860000 24.5825
7870000 24.5862
7880000 24.5875
7890000 24.5839
7900000 24.5837
7910000 24.5749
7920000 24.5726
7930000 24.5676
7940000 24.5643
7950000 24.5601
7960000 24.5556
7970000 24.5488
7980000 24.5437
7990000 24.5398
8000000 24.533
8010000 24.5251
8020000 24.5213
8030000 24.5156
8040000 24.5121
8050000 24.5042
8060000 24.4945
8070000 24.4801
8080000 24.4655
8090000 24.4507
8100000 24.4317
8110000 24.4194
8120000 24.4074
8130000 24.399
8140000 24.3888
8150000 24.3762
8160000 24.3629
8170000 24.3409
8180000 24.329
8190000 24.3177
8200000 24.3068
8210000 24.2972
8220000 24.29
8230000 24.2889
8240000 24.284
8250000 24.2804
8260000 24.2776
8270000 24.2817
8280000 24.2925
8290000 24.2929
8300000 24.2945
8310000 24.2908
8320000 24.2826
8330000 24.2742
8340000 24.2659
8350000 24.2717
8360000 24.276
8370000 24.2728
8380000 24.268
8390000 24.2644
8400000 24.2627
8410000 24.2656
8420000 24.2582
8430000 24.2503
8440000 24.2463
8450000 24.2368
8460000 24.2283
8470000 24.2238
8480000 24.222
8490000 24.2206
8500000 24.2197
8510000 24.2212
8520000 24.2286
8530000 24.2278
8540000 24.2276
8550000 24.226
8560000 24.2322
8570000 24.2338
8580000 24.2441
8590000 24.2486
8600000 24.2543
8610000 24.2631
8620000 24.2703
8630000 24.2791
8640000 24.2782
8650000 24.2762
8660000 24.2732
8670000 24.2682
8680000 24.2699
8690000 24.2636
8700000 24.2562
8710000 24.2517
8720000 24.2444
8730000 24.2424
8740000 24.2405
8750000 24.2359
8760000 24.2326
8770000 24.2225
8780000 24.2145
8790000 24.2091
8800000 24.208
8810000 24.2018
8820000 24.1985
8830000 24.2009
8840000 24.2081
8850000 24.212
8860000 24.206
8870000 24.2076
8880000 24.2041
8890000 24.1998
8900000 24.2005
8910000 24.1921
8920000 24.1916
8930000 24.193
8940000 24.1914
8950000 24.1972
8960000 24.2021
8970000 24.2054
8980000 24.214
8990000 24.2194
9000000 24.2217
9010000 24.2233
9020000 24.2216
9030000 24.2195
9040000 24.2094
9050000 24.2062
9060000 24.2008
9070000 24.1946
9080000 24.187
9090000 24.1835
9100000 24.1768
9110000 24.1683
9120000 24.1616
9130000 24.1538
9140000 24.1533
9150000 24.1523
9160000 24.1482
9170000 24.1495
9180000 24.155
9190000 24.1587
9200000 24.1572
9210000 24.1578
9220000 24.1626
9230000 24.1623
9240000 24.1618
9250000 24.1589
9260000 24.163
9270000 24.1639
9280000 24.1738
9290000 24.1783
9300000 24.1883
9310000 24.1952
9320000 24.1972
9330000 24.198
9340000 24.2065
9350000 24.2071
9360000 24.2059
9370000 24.217
9380000 24.2294
9390000 24.2402
9400000 24.247
9410000 24.2505
9420000 24.2552
9430000 24.2697
9440000 24.2739
9450000 24.2803
9460000 24.2793
9470000 24.2716
9480000 24.2629
9490000 24.2596
9500000 24.2601
9510000 24.2625
9520000 24.2679
9530000 24.2725
9540000 24.2797
9550000 24.2892
9560000 24.2942
9570000 24.2985
9580000 24.2963
9590000 24.2894
9600000 24.29
9610000 24.2946
9620000 24.2892
9630000 24.2834
9640000 24.2812
9650000 24.2761
9660000 24.2801
9670000 24.2751
9680000 24.2766
9690000 24.2767
9700000 24.2769
9710000 24.2614
9720000 24.2613
9730000 24.2632
9740000 24.2573
9750000 24.2584
9760000 24.2601
9770000 24.256
9780000 24.2549
9790000 24.2529
9800000 24.2445
9810000 24.2404
9820000 24.2427
9830000 24.2416
9840000 24.2391
9850000 24.2359
9860000 24.2355
9870000 24.2332
9880000 24.2218
9890000 24.2174
9900000 24.2167
9910000 24.2197
9920000 24.2195
9930000 24.2141
9940000 24.2143
9950000 24.2152
9960000 24.2164
9970000 24.2133
9980000 24.2006
9990000 24.1932
10000000 24.1835
10010000 24.1745
10020000 24.1647
10030000 24.1583
10040000 24.1557
10050000 24.1557
10060000 24.1524
10070000 24.1518
10080000 24.1522
10090000 24.159
10100000 24.164
10110000 24.1686
10120000 24.1722
10130000 24.1723
10140000 24.169
10150000 24.1677
10160000 24.1623
10170000 24.1493
10180000 24.1431
10190000 24.1373
10200000 24.1347
10210000 24.1314
10220000 24.1257
10230000 24.1234
10240000 24.129
10250000 24.1314
10260000 24.1232
10270000 24.1218
10280000 24.1218
10290000 24.1227
10300000 24.1295
10310000 24.1283
10320000 24.1249
10330000 24.125
10340000 24.1265
10350000 24.1258
10360000 24.1154
10370000 24.1083
10380000 24.1036
10390000 24.1
10400000 24.0998
10410000 24.0963
10420000 24.0998
10430000 24.106
10440000 24.1109
10450000 24.1116
10460000 24.1098
10470000 24.1017
10480000 24.1021
10490000 24.1013
10500000 24.1023
10510000 24.1032
10520000 24.0964
10530000 24.0861
10540000 24.0786
10550000 24.0722
10560000 24.0678
10570000 24.0574
10580000 24.0511
10590000 24.0405
10600000 24.0332
10610000 24.0242
10620000 24.0196
10630000 24.0205
10640000 24.0162
10650000 24.0184
10660000 24.0187
10670000 24.014
10680000 24.0116
10690000 24.0109
10700000 24.0091
10710000 24.0069
10720000 24.0061
10730000 24.0047
10740000 24.0016
10750000 24.0007
10760000 24.0016
10770000 24.0047
10780000 24.0022
10790000 24.0026
10800000 24.0029
10810000 24.0001
10820000 23.9948
10830000 23.9919
10840000 23.9925
10850000 23.9908
10860000 23.9929
10870000 23.9989
10880000 24.0029
10890000 24.0015
10900000 24.0077
10910000 24.0088
10920000 24.0056
10930000 24.0044
10940000 24.0022
10950000 24.0018
10960000 24.0007
10970000 23.9943
10980000 23.9975
10990000 23.9958
11000000 23.9918
11010000 23.9906
11020000 23.9867
11030000 23.9861
11040000 23.9893
11050000 23.9931
11060000 23.9916
11070000 23.9885
11080000 23.9885
11090000 23.9936
11100000 23.9973
11110000 23.9981
11120000 24.0004
11130000 24.0013
11140000 24.0038
11150000 24.0078
11160000 24.005
11170000 24.004
11180000 24.0054
11190000 23.9968
11200000 23.9906
11210000 23.9827
11220000 23.9785
11230000 23.9779
11240000 23.9763
11250000 23.975
11260000 23.9746
11270000 23.9796
11280000 23.9836
11290000 23.9856
11300000 23.9861
11310000 23.9843
11320000 23.9854
11330000 23.9851
11340000 23.9807
11350000 23.9791
11360000 23.9812
11370000 23.9783
11380000 23.9756
11390000 23.9776
11400000 23.9812
11410000 23.9856
11420000 23.9832
11430000 23.9832
11440000 23.9798
11450000 23.9794
11460000 23.9833
11470000 23.9928
11480000 23.9972
11490000 24.0013
11500000 24.0036
11510000 24.008
11520000 24.0088
11530000 24.0178
11540000 24.0244
11550000 24.025
11560000 24.0293
11570000 24.0296
11580000 24.0328
11590000 24.0398
11600000 24.0433
11610000 24.0457
11620000 24.0537
11630000 24.0522
11640000 24.0598
11650000 24.0683
11660000 24.076
11670000 24.0795
11680000 24.083
11690000 24.0935
11700000 24.104
11710000 24.1049
11720000 24.1101
11730000 24.1198
11740000 24.125
11750000 24.1297
11760000 24.1375
11770000 24.148
11780000 24.1585
11790000 24.1681
11800000 24.1745
11810000 24.1829
11820000 24.1848
11830000 24.1913
11840000 24.2035
11850000 24.21
11860000 24.2155
11870000 24.2245
11880000 24.2252
11890000 24.2283
11900000 24.2261
11910000 24.2291
11920000 24.2255
11930000 24.2241
11940000 24.2337
11950000 24.2316
11960000 24.2338
11970000 24.2317
11980000 24.2333
11990000 24.2363
12000000 24.2379
12010000 24.24
12020000 24.2455
12030000 24.2491
12040000 24.2551
12050000 24.2571
12060000 24.2614
12070000 24.2664
12080000 24.2726
12090000 24.2791
12100000 24.282
12110000 24.2864
12120000 24.2838
12130000 24.2784
12140000 24.2721
12150000 24.2758
12160000 24.2725
12170000 24.2681
12180000 24.2644
12190000 24.2545
12200000 24.2453
12210000 24.2377
12220000 24.2307
12230000 24.2253
12240000 24.221
12250000 24.2178
12260000 24.2131
12270000 24.207
12280000 24.2034
12290000 24.1972
12300000 24.1939
12310000 24.1885
12320000 24.1847
12330000 24.1833
12340000 24.1787
12350000 24.179
12360000 24.1757
12370000 24.171
12380000 24.1661
12390000 24.1608
12400000 24.1598
12410000 24.1587
12420000 24.1532
12430000 24.1526
12440000 24.1544
12450000 24.1571
12460000 24.1615
12470000 24.1602
12480000 24.1573
12490000 24.1483
12500000 24.1476
12510000 24.1461
12520000 24.148
12530000 24.1392
12540000 24.1366
12550000 24.1345
12560000 24.1271
12570000 24.1231
12580000 24.1199
12590000 24.1242
12600000 24.1212
12610000 24.1191
12620000 24.1164
12630000 24.1146
12640000 24.1153
12650000 24.1165
12660000 24.1134
12670000 24.1093
12680000 24.1056
12690000 24.1045
12700000 24.1012
12710000 24.0958
12720000 24.0922
12730000 24.0896
12740000 24.0891
12750000 24.085
12760000 24.0855
12770000 24.0828
12780000 24.0789
12790000 24.0768
12800000 24.0758
12810000 24.0713
12820000 24.0675
12830000 24.0697
12840000 24.0724
12850000 24.0683
12860000 24.0673
12870000 24.0662
12880000 24.0711
12890000 24.0791
12900000 24.0789
12910000 24.0724
12920000 24.0693
12930000 24.065
12940000 24.0629
12950000 24.0609
12960000 24.0627
12970000 24.0627
12980000 24.0591
12990000 24.0628
13000000 24.0663
13010000 24.0749
13020000 24.0795
13030000 24.0802
13040000 24.0792
13050000 24.0789
13060000 24.0797
13070000 24.0811
13080000 24.0794
13090000 24.0802
13100000 24.0807
13110000 24.081
13120000 24.0786
13130000 24.0819
13140000 24.0817
13150000 24.0832
13160000 24.0911
13170000 24.0951
13180000 24.0921
13190000 24.0942
13200000 24.0965
13210000 24.0915
13220000 24.0884
13230000 24.0847
13240000 24.0838
13250000 24.0825
13260000 24.0838
13270000 24.0813
13280000 24.0804
13290000 24.0848
13300000 24.0866
13310000 24.0895
13320000 24.0928
13330000 24.0941
13340000 24.1023
13350000 24.1021
13360000 24.0999
13370000 24.1018
13380000 24.1018
13390000 24.0988
13400000 24.0956
13410000 24.0967
13420000 24.0971
13430000 24.0951
13440000 24.0967
13450000 24.0926
13460000 24.0851
13470000 24.0837
13480000 24.0827
13490000 24.0855
13500000 24.0829
13510000 24.0814
13520000 24.0718
13530000 24.0667
13540000 24.0634
13550000 24.0588
13560000 24.0544
13570000 24.0512
13580000 24.0463
13590000 24.0457
13600000 24.0483
13610000 24.0519
13620000 24.0504
13630000 24.0499
13640000 24.0474
13650000 24.0467
13660000 24.0475
13670000 24.0498
13680000 24.0582
13690000 24.0664
13700000 24.0751
13710000 24.0809
13720000 24.0869
13730000 24.0868
13740000 24.0852
13750000 24.0852
13760000 24.0879
13770000 24.0871
13780000 24.091
13790000 24.0922
13800000 24.0931
13810000 24.0977
13820000 24.0968
13830000 24.0947
13840000 24.0922
13850000 24.092
13860000 24.0939
13870000 24.0969
13880000 24.0987
13890000 24.0991
13900000 24.1001
13910000 24.0986
13920000 24.0969
13930000 24.0956
13940000 24.094
13950000 24.0914
13960000 24.0868
13970000 24.0845
13980000 24.082
13990000 24.0812
14000000 24.0842
14010000 24.0875
14020000 24.0858
14030000 24.0824
14040000 24.0828
14050000 24.0819
14060000 24.0784
14070000 24.0774
14080000 24.0792
14090000 24.0816
14100000 24.0789
14110000 24.0808
14120000 24.0844
14130000 24.0886
14140000 24.0878
14150000 24.084
14160000 24.085
14170000 24.0851
14180000 24.0864
14190000 24.0883
14200000 24.0916
14210000 24.0946
14220000 24.1026
14230000 24.1132
14240000 24.1182
14250000 24.1202
14260000 24.1176
14270000 24.1122
14280000 24.1089
14290000 24.1046
14300000 24.1032
14310000 24.1026
14320000 24.0994
14330000 24.0988
14340000 24.0981
14350000 24.0991
14360000 24.0949
14370000 24.0902
14380000 24.0904
14390000 24.0875
14400000 24.0862
14410000 24.0857
14420000 24.0861
14430000 24.0843
14440000 24.0796
14450000 24.0759
14460000 24.0689
14470000 24.0642
14480000 24.0627
14490000 24.0622
14500000 24.059
14510000 24.0568
14520000 24.0524
14530000 24.0502
14540000 24.0495
14550000 24.0493
14560000 24.0469
14570000 24.0453
14580000 24.0441
14590000 24.0372
14600000 24.0349
14610000 24.0343
14620000 24.0247
14630000 24.0193
14640000 24.0128
14650000 24.0085
14660000 24.0085
14670000 24.0076
14680000 24.0069
14690000 24.0078
14700000 24.0061
14710000 23.9977
14720000 23.9915
14730000 23.9845
14740000 23.9772
14750000 23.9747
14760000 23.9717
14770000 23.9714
14780000 23.9658
14790000 23.9606
14800000 23.956
14810000 23.9528
14820000 23.9519
14830000 23.949
14840000 23.9509
14850000 23.9481
14860000 23.9476
14870000 23.9446
14880000 23.9441
14890000 23.9445
14900000 23.9411
14910000 23.9352
14920000 23.9308
14930000 23.9322
14940000 23.9352
14950000 23.937
14960000 23.9393
14970000 23.9423
14980000 23.9406
14990000 23.9435
15000000 23.946
15010000 23.948
15020000 23.9483
15030000 23.9504
15040000 23.9487
15050000 23.946
15060000 23.9466
15070000 23.9492
15080000 23.9553
15090000 23.9587
15100000 23.9573
15110000 23.9587
15120000 23.9626
15130000 23.9584
15140000 23.9549
15150000 23.9523
15160000 23.9478
15170000 23.9472
15180000 23.946
15190000 23.9443
15200000 23.9419
15210000 23.9398
15220000 23.9389
15230000 23.9381
15240000 23.94
15250000 23.9443
15260000 23.9461
15270000 23.9481
15280000 23.9444
15290000 23.943
15300000 23.939
15310000 23.9435
15320000 23.9475
15330000 23.9494
15340000 23.952
15350000 23.9524
15360000 23.9549
15370000 23.9589
15380000 23.9561
15390000 23.9559
15400000 23.9564
15410000 23.9593
15420000 23.9638
15430000 23.9659
15440000 23.9701
15450000 23.9689
15460000 23.9726
15470000 23.9706
15480000 23.9679
15490000 23.9681
15500000 23.9686
15510000 23.9706
15520000 23.9705
15530000 23.9704
15540000 23.9758
15550000 23.9802
15560000 23.9823
15570000 23.9855
15580000 23.9848
15590000 23.9851
15600000 23.9816
15610000 23.9821
15620000 23.9767
15630000 23.9744
15640000 23.979
15650000 23.9783
