# Time-averaged data for fix averho
# TimeStep v_rho
9130000 1.02089
9140000 1.02089
9150000 1.02089
9160000 1.0209
9170000 1.0209
9180000 1.02091
9190000 1.02091
9200000 1.02092
9210000 1.02092
9220000 1.02093
9230000 1.02093
9240000 1.02093
9250000 1.02093
9260000 1.02093
9270000 1.02093
9280000 1.02093
9290000 1.02093
9300000 1.02093
9310000 1.02093
9320000 1.02094
9330000 1.02094
9340000 1.02094
9350000 1.02095
9360000 1.02095
9370000 1.02096
9380000 1.02096
9390000 1.02096
9400000 1.02097
9410000 1.02097
9420000 1.02097
9430000 1.02098
9440000 1.02098
9450000 1.02098
9460000 1.02099
9470000 1.021
9480000 1.021
9490000 1.02101
9500000 1.02101
9510000 1.02102
9520000 1.02103
9530000 1.02103
9540000 1.02103
9550000 1.02104
9560000 1.02104
9570000 1.02104
9580000 1.02104
9590000 1.02105
9600000 1.02105
9610000 1.02106
9620000 1.02106
9630000 1.02107
9640000 1.02108
9650000 1.02108
9660000 1.02108
9670000 1.02109
9680000 1.0211
9690000 1.0211
9700000 1.02111
9710000 1.02111
9720000 1.02112
9730000 1.02112
9740000 1.02113
9750000 1.02113
9760000 1.02113
9770000 1.02113
9780000 1.02113
9790000 1.02113
9800000 1.02113
9810000 1.02113
9820000 1.02114
9830000 1.02114
9840000 1.02114
9850000 1.02114
9860000 1.02114
9870000 1.02114
9880000 1.02114
9890000 1.02115
9900000 1.02115
9910000 1.02115
9920000 1.02115
9930000 1.02116
9940000 1.02116
9950000 1.02116
9960000 1.02116
9970000 1.02116
9980000 1.02116
9990000 1.02116
10000000 1.02116
